index,date,combination,InitialInvestment,InvestmentUsingPattern,InvestmentWithoutPattern
22.0,2023-04-05,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,100.79610613983228
23.0,2023-04-06,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,100.38867675952515
24.0,2023-04-10,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,99.87609796483108
25.0,2023-04-11,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,100.09856084225748
26.0,2023-04-12,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,100.3285556221864
27.0,2023-04-13,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,100.11708681271163
28.0,2023-04-17,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,99.11045177181884
29.0,2023-04-18,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,99.40872198394742
30.0,2023-04-19,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,99.75557047245992
31.0,2023-04-20,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,99.91666005238513
32.0,2023-04-21,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,99.8818010459332
33.0,2023-04-24,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,100.22843363424076
34.0,2023-04-25,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,100.0022520557046
35.0,2023-04-26,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,100.28507426564532
36.0,2023-04-27,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,100.6180844434714
37.0,2023-04-28,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,100.54873429004368
38.0,2023-05-02,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,100.06206965042372
39.0,2023-05-03,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,99.82830769910235
40.0,2023-05-04,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,100.87163320612795
41.0,2023-05-05,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,99.73864759097658
42.0,2023-05-08,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,100.82309636546252
43.0,2023-05-09,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,99.75359769223203
44.0,2023-05-10,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,99.98634894286214
45.0,2023-05-11,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,99.70966019893451
46.0,2023-05-12,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,100.21041110883098
47.0,2023-05-15,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,100.24701051839492
48.0,2023-05-16,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,99.155832001888
49.0,2023-05-17,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,99.43990448322307
50.0,2023-05-18,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,99.16418318523584
51.0,2023-05-19,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,100.10612471578646
52.0,2023-05-22,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,100.56150452445182
53.0,2023-05-23,Engulfing+Hammer/Engulfing+Hanging man,100.0,100.0,99.84125601076082
0.0,2023-03-01,Hammer/Shooting Star,100.0,100.0,100.56307279335948
1.0,2023-03-02,Hammer/Shooting Star,100.0,100.0,99.40963751686137
