date,open,high,low,close,volume
2023-03-01 09:15:00+05:30,17360.1,17409.2,17353.45,17369.75,0
2023-03-01 09:30:00+05:30,17368.35,17421.75,17362.75,17405.45,0
2023-03-01 09:45:00+05:30,17405.75,17420.65,17384.6,17389.4,0
2023-03-01 10:00:00+05:30,17390.45,17420.95,17390.4,17404.15,0
2023-03-01 10:15:00+05:30,17404.6,17420.5,17389.55,17420.0,0
2023-03-01 10:30:00+05:30,17418.35,17427.0,17403.95,17418.5,0
2023-03-01 10:45:00+05:30,17418.2,17421.0,17409.5,17419.5,0
2023-03-01 11:00:00+05:30,17419.5,17430.55,17409.7,17430.5,0
2023-03-01 11:15:00+05:30,17430.85,17436.5,17423.95,17427.65,0
2023-03-01 11:30:00+05:30,17428.45,17441.2,17417.5,17429.25,0
2023-03-01 11:45:00+05:30,17429.45,17429.45,17421.7,17427.4,0
2023-03-01 12:00:00+05:30,17427.95,17431.15,17406.7,17407.8,0
2023-03-01 12:15:00+05:30,17407.55,17419.55,17393.6,17417.35,0
2023-03-01 12:30:00+05:30,17417.55,17422.75,17401.75,17417.3,0
2023-03-01 12:45:00+05:30,17417.35,17429.75,17416.5,17422.05,0
2023-03-01 13:00:00+05:30,17422.3,17423.95,17410.8,17414.25,0
2023-03-01 13:15:00+05:30,17415.2,17421.45,17401.8,17421.15,0
2023-03-01 13:30:00+05:30,17420.9,17422.05,17408.6,17420.55,0
2023-03-01 13:45:00+05:30,17421.65,17445.05,17415.4,17423.8,0
2023-03-01 14:00:00+05:30,17423.4,17442.9,17423.0,17442.9,0
2023-03-01 14:15:00+05:30,17442.4,17448.25,17428.55,17445.75,0
2023-03-01 14:30:00+05:30,17446.15,17466.15,17446.15,17465.55,0
2023-03-01 14:45:00+05:30,17466.05,17467.5,17450.1,17451.1,0
2023-03-01 15:00:00+05:30,17451.2,17461.55,17442.9,17447.1,0
2023-03-01 15:15:00+05:30,17447.15,17459.4,17445.9,17457.85,0
